id	Time	Number	Side	Dir
1	3.692304	2	0	0|1
2	4.153842	1	1	2|1
3	4.61538	2	0	0|2
4	5.076918	2	1	1|3
5	5.538456	2	0	2|1
6	5.999994	2	1	2|1
7	6.461532	1	0	0|1
8	6.92307	1	1	1|3
9	7.384608	1	0	2|1
10	7.846146	1	0	2|1
11	8.307684	2	0	2|1
12	8.769222	2	1	1|3
13	9.23076	2	1	2|2
14	9.692298	1	1	2|3
15	10.153836	1	1	2|3
16	10.615374	1	1	1|3
17	11.076912	1	1	3|1
18	11.53845	2	0	2|3
19	11.999988	2	0	2|3
20	12.461526	2	0	3|1
21	12.923064	2	0	2|1
22	13.384602	2	0	1|3
23	13.84614	1	0	2|2
24	14.076909	1	1	2|3
25	14.307678	1	0	2|3
26	14.538447	2	1	0|2
27	14.999985	1	0	1|3
28	15.230754	2	1	2|1
29	15.461523	2	0	2|1
30	15.692292	2	1	0|1
31	15.923061	1	0	1|3
32	16.15383	1	1	1|3
33	16.384599	1	0	2|2
34	16.615368	2	0	2|3
35	16.846137	2	0	2|3
36	17.307675	1	1	0|2
37	18.692289	2	1	1|3
38	18.923058	1	1	2|1
39	19.153827	2	0	1|3
40	19.384596	2	1	2|1
41	19.615365	1	0	1|3
42	19.846134	2	1	1|3
43	20.076903	1	0	2|2
44	20.307672	2	1	2|3
45	20.538441	2	0	2|3
46	20.999979	2	1	1|3
47	21.461517	1	0	3|1
48	22.384593	2	1	2|3
49	22.615362	2	0	2|3
50	22.846131	1	1	3|1
51	23.0769	1	0	2|1
52	23.307669	2	1	1|3
53	23.538438	1	0	2|2
54	23.769207	2	1	2|3
55	23.999976	2	0	2|3
56	24.230745	1	1	0|2
57	24.692283	2	0	1|3
58	26.076897	2	1	1|3
59	26.307666	2	0	2|2
60	26.538435	1	1	2|3
61	26.769204	1	0	2|3
62	26.999973	1	1	1|3
63	27.230742	1	0	3|1
64	27.461511	1	1	2|3
65	27.69228	1	0	2|3
66	27.923049	1	1	3|1
67	28.384587	2	1	0|0
